City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
119,Sakaiminato,JP,35.55,133.23,86.0,66,20,10.29,few clouds
120,Kota Belud,MY,6.35,116.43,86.0,79,20,5.82,few clouds
121,Kodiak,US,57.79,-152.41,59.0,82,90,3.36,overcast clouds
122,Cabo San Lucas,MX,22.89,-109.91,84.99,51,5,10.29,clear sky
123,Kerema,PG,-7.96,145.78,77.88,74,99,10.71,overcast clouds
124,Hobart,AU,-42.88,147.33,48.2,70,75,12.75,light intensity shower rain
125,Oshakati,NA,-17.78,15.68,68.0,30,0,4.7,clear sky
126,Srednekolymsk,RU,67.45,153.68,40.8,69,100,11.23,overcast clouds
127,Nelson Bay,AU,-32.72,152.15,62.01,36,0,17.22,clear sky
128,Umm Lajj,SA,25.02,37.27,84.13,44,0,6.69,clear sky
129,Port Elizabeth,ZA,-33.92,25.57,57.2,93,75,8.05,drizzle
130,Tessalit,ML,20.2,1.01,86.11,47,100,9.48,overcast clouds
131,Arraial Do Cabo,BR,-22.97,-42.03,67.01,61,3,8.32,clear sky
132,Aswan,EG,24.09,32.91,80.53,29,0,1.7,clear sky
133,Caravelas,BR,-17.71,-39.25,69.22,79,88,11.34,light rain
134,Cape Town,ZA,-33.93,18.42,57.99,87,20,9.17,few clouds
135,Bengkulu,ID,-3.8,102.27,87.28,57,33,7.9,scattered clouds
136,Zaysan,KZ,47.47,84.87,77.56,23,81,4.79,broken clouds
137,Ampanihy,MG,-24.7,44.75,64.18,72,0,6.82,clear sky
138,Immokalee,US,26.42,-81.42,82.0,83,75,8.05,broken clouds
139,Saint George,US,37.1,-113.58,86.0,37,40,29.97,heavy intensity rain
140,Saint-Philippe,RE,-21.36,55.77,69.8,59,39,8.05,scattered clouds
141,Tuatapere,NZ,-46.13,167.68,53.53,72,9,5.97,clear sky
142,Matara,LK,5.95,80.54,85.26,65,74,6.98,broken clouds
143,Tabuk,PH,17.42,121.44,88.54,61,84,4.27,light rain
144,Kushmurun,KZ,52.45,64.63,59.34,73,0,6.33,clear sky
145,Partapur,IN,23.6,74.17,78.33,91,100,14.29,light rain
146,Yairipok,IN,24.67,94.07,79.95,80,100,0.96,light rain
147,Saint-Raphael,HT,19.43,-72.2,72.82,82,100,3.15,overcast clouds
148,Thunder Bay,CA,48.4,-89.32,64.4,93,75,4.7,broken clouds
149,Fortuna,US,40.6,-124.16,57.99,93,90,4.7,overcast clouds
150,Groningen,NL,53.25,6.75,60.01,93,90,5.82,shower rain
151,Sistranda,NO,63.73,8.83,48.2,81,75,18.34,light intensity shower rain
152,Puerto Escondido,MX,15.85,-97.07,79.05,80,100,4.23,light rain
153,Biak,ID,-0.91,122.88,83.77,63,57,7.16,broken clouds
154,Norman Wells,CA,65.28,-126.83,68.0,45,20,10.29,few clouds
155,Georgetown,MY,5.41,100.34,87.8,74,20,2.24,few clouds
156,Kahului,US,20.89,-156.47,87.8,52,40,24.16,scattered clouds
157,Tasiilaq,GL,65.61,-37.64,35.6,100,4,5.82,fog
158,Coquimbo,CL,-29.95,-71.34,55.4,62,93,3.36,overcast clouds
159,Horsham,GB,51.06,-0.33,57.2,82,40,5.82,scattered clouds
160,Hofn,IS,64.25,-15.21,48.15,85,100,8.21,overcast clouds
161,Sterling,US,39.01,-77.43,79.0,78,75,6.93,broken clouds
162,Nanortalik,GL,60.14,-45.24,42.1,87,30,7.29,scattered clouds
163,Solnechnyy,RU,50.72,136.63,68.56,69,94,3.18,overcast clouds
164,Mar Del Plata,AR,-38.0,-57.56,51.01,87,46,18.34,scattered clouds
165,Lompoc,US,34.64,-120.46,69.01,82,1,5.82,clear sky
166,Asau,RO,46.43,26.4,61.0,95,8,2.3,light rain
167,Nioro,GM,13.35,-15.75,74.41,87,100,2.13,overcast clouds
168,Ridgecrest,US,35.62,-117.67,99.0,25,36,8.97,scattered clouds
169,Westport,US,41.14,-73.36,75.2,88,1,5.12,clear sky
170,Yining,CN,29.04,114.56,94.96,50,1,4.76,light rain
171,Huayang,CN,34.42,109.99,70.2,68,67,9.82,broken clouds
172,Sitka,US,57.05,-135.33,57.2,87,90,4.12,mist
173,Tambopata,PE,-12.73,-69.18,65.7,72,0,0.2,clear sky
174,Talnakh,RU,69.49,88.4,60.8,77,40,20.13,scattered clouds
175,Thinadhoo,MV,0.53,72.93,82.98,71,81,9.06,moderate rain
176,Xining,CN,36.62,101.77,63.84,54,20,0.87,few clouds
177,Longyearbyen,SJ,78.22,15.64,37.63,77,52,4.68,broken clouds
178,Benin,BJ,9.5,2.25,69.69,97,100,4.59,overcast clouds
179,Ughelli,NG,5.49,6.01,73.54,92,100,3.02,overcast clouds
180,Palora,EC,-1.7,-77.93,66.06,91,92,1.36,light rain
181,Bilimbay,RU,56.97,59.81,51.8,100,0,4.72,clear sky
182,Lorengau,PG,-2.02,147.27,75.85,87,100,6.67,moderate rain
183,Guarapari,BR,-20.67,-40.5,66.2,77,75,8.05,broken clouds
184,Faanui,PF,-16.48,-151.75,77.22,80,14,20.85,few clouds
185,Isangel,VU,-19.55,169.27,78.8,94,75,6.11,broken clouds
186,Vao,NC,-22.67,167.48,70.52,70,58,11.39,broken clouds
187,Souillac,MU,-20.52,57.52,71.6,73,75,13.87,shower rain
188,Mehriz,IR,31.59,54.43,82.4,17,0,4.7,clear sky
189,Tautira,PF,-17.73,-149.15,82.4,65,20,6.93,few clouds
190,Sault Sainte Marie,CA,46.52,-84.33,69.8,88,1,1.59,clear sky
191,Opotiki,NZ,-38.08,177.28,59.0,75,100,5.99,moderate rain
192,Mitsamiouli,KM,-11.38,43.28,75.9,69,100,7.36,overcast clouds
193,Kloulklubed,PW,7.04,134.26,87.8,70,75,10.29,broken clouds
194,Da Nang,VN,16.07,108.22,93.2,56,40,3.36,scattered clouds
195,Shurugwi,ZW,-19.67,30.01,49.48,77,5,4.65,clear sky
196,Timberlake,US,37.32,-79.26,75.2,83,1,4.7,clear sky
197,Yumen,CN,40.28,97.2,86.83,12,24,15.03,few clouds
198,Gigmoto,PH,13.78,124.39,89.2,62,37,9.82,scattered clouds
